"Story","Title","Result","Date","Stability","Duration (s)"
"Invitation People","Search people name with null character","SUCCESS","2022-10-20T11:42:27.0587629+07:00[Asia/Bangkok]","0.0","0.17"
"Invitation People","Search people name with one character","SUCCESS","2022-10-20T11:42:27.2389217+07:00[Asia/Bangkok]","0.0","0.04"
"Invitation People","Search people name with a name","SUCCESS","2022-10-20T11:42:27.2940586+07:00[Asia/Bangkok]","0.0","0.03"
"Invitation People","Search people name with symbol","SUCCESS","2022-10-20T11:42:27.3326365+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with a full name","SUCCESS","2022-10-20T11:42:27.3566662+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with my contact","SUCCESS","2022-10-20T11:42:27.380907+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with event","SUCCESS","2022-10-20T11:42:27.4103026+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with conections","SUCCESS","2022-10-20T11:42:27.4379464+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with people i follow","SUCCESS","2022-10-20T11:42:27.4608031+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with pages","SUCCESS","2022-10-20T11:42:27.4807134+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with hastag","SUCCESS","2022-10-20T11:42:27.5067106+07:00[Asia/Bangkok]","0.0","0.02"
"Search job","Search job with name company","SUCCESS","2022-10-20T11:42:27.5355134+07:00[Asia/Bangkok]","0.0","0.02"
"Search job","Search job with specification job","SUCCESS","2022-10-20T11:42:27.5674392+07:00[Asia/Bangkok]","0.0","0.05"
"Search job","Search job with one character","SUCCESS","2022-10-20T11:42:27.6235449+07:00[Asia/Bangkok]","0.0","0.02"
"Search job","Search job with number","SUCCESS","2022-10-20T11:42:27.6660912+07:00[Asia/Bangkok]","0.0","0.02"
"Search job","Search job with null","SUCCESS","2022-10-20T11:42:27.6896158+07:00[Asia/Bangkok]","0.0","0.01"
"Search job","Search job with symbol","SUCCESS","2022-10-20T11:42:27.704268+07:00[Asia/Bangkok]","0.0","0.01"
"Search job","Search job with initial skill","SUCCESS","2022-10-20T11:42:27.7168993+07:00[Asia/Bangkok]","0.0","0.03"
"Search job","Search job with Suggested job searches","SUCCESS","2022-10-20T11:42:27.7477534+07:00[Asia/Bangkok]","0.0","0.02"
"Search job","Search job with salary","SUCCESS","2022-10-20T11:42:27.7723532+07:00[Asia/Bangkok]","0.0","0.02"
"Search job","Search job with skill assigment","SUCCESS","2022-10-20T11:42:27.7934445+07:00[Asia/Bangkok]","0.0","0.02"
"Search job","Search job with my job","SUCCESS","2022-10-20T11:42:27.8266948+07:00[Asia/Bangkok]","0.0","0.03"
"Search job","Search job with interview prep","SUCCESS","2022-10-20T11:42:27.8752831+07:00[Asia/Bangkok]","0.0","0.03"
"Search job","Search job with alerts","SUCCESS","2022-10-20T11:42:27.9046285+07:00[Asia/Bangkok]","0.0","0.02"
"Search job","Search job with resume builder","SUCCESS","2022-10-20T11:42:27.9232116+07:00[Asia/Bangkok]","0.0","0.04"
"Search job","Search job with job seeker guidance","SUCCESS","2022-10-20T11:42:27.9732509+07:00[Asia/Bangkok]","0.0","0.01"
"Sign in","Sign in with number phone and password valid","SUCCESS","2022-10-20T11:42:28.0537206+07:00[Asia/Bangkok]","0.0","0.01"
"Sign in","Sign in with one character email and password","SUCCESS","2022-10-20T11:42:28.070345+07:00[Asia/Bangkok]","0.0","0.02"
"Sign in","Sign in with symbol in email and password","SUCCESS","2022-10-20T11:42:28.0983112+07:00[Asia/Bangkok]","0.0","0.02"
"Sign in","Sign in with null email and null password","SUCCESS","2022-10-20T11:42:28.1249529+07:00[Asia/Bangkok]","0.0","0.01"
"Sign in","Sign in with email valid and password valid","SUCCESS","2022-10-20T11:42:28.1423611+07:00[Asia/Bangkok]","0.0","0.02"
"Sign in","Sign in with email valid and password invalid","SUCCESS","2022-10-20T11:42:28.1634233+07:00[Asia/Bangkok]","0.0","0.01"
"Sign in","Sign in with email invalid and password valid","SUCCESS","2022-10-20T11:42:28.1798375+07:00[Asia/Bangkok]","0.0","0.02"
"Sign in","Sign in with google account","SUCCESS","2022-10-20T11:42:28.2000212+07:00[Asia/Bangkok]","0.0","0.01"
"Sign in","Sign in with Looking to create a page for a business?","SUCCESS","2022-10-20T11:42:28.2166103+07:00[Asia/Bangkok]","0.0","0.04"
"Sign in","Sign in with email valid and password valid, show password","SUCCESS","2022-10-20T11:42:28.2604995+07:00[Asia/Bangkok]","0.0","0.02"
"Sign in","Sign in with email valid and password valid, not show password","SUCCESS","2022-10-20T11:42:28.2808302+07:00[Asia/Bangkok]","0.0","0.02"
