"Story","Title","Result","Date","Stability","Duration (s)"
"Search job","Search job with name company","SUCCESS","2022-10-20T11:42:27.5355134+07:00[Asia/Bangkok]","0.0","0.02"
"Search job","Search job with specification job","SUCCESS","2022-10-20T11:42:27.5674392+07:00[Asia/Bangkok]","0.0","0.05"
"Search job","Search job with one character","SUCCESS","2022-10-20T11:42:27.6235449+07:00[Asia/Bangkok]","0.0","0.02"
"Search job","Search job with number","SUCCESS","2022-10-20T11:42:27.6660912+07:00[Asia/Bangkok]","0.0","0.02"
"Search job","Search job with null","SUCCESS","2022-10-20T11:42:27.6896158+07:00[Asia/Bangkok]","0.0","0.01"
"Search job","Search job with symbol","SUCCESS","2022-10-20T11:42:27.704268+07:00[Asia/Bangkok]","0.0","0.01"
"Search job","Search job with initial skill","SUCCESS","2022-10-20T11:42:27.7168993+07:00[Asia/Bangkok]","0.0","0.03"
"Search job","Search job with Suggested job searches","SUCCESS","2022-10-20T11:42:27.7477534+07:00[Asia/Bangkok]","0.0","0.02"
"Search job","Search job with salary","SUCCESS","2022-10-20T11:42:27.7723532+07:00[Asia/Bangkok]","0.0","0.02"
"Search job","Search job with skill assigment","SUCCESS","2022-10-20T11:42:27.7934445+07:00[Asia/Bangkok]","0.0","0.02"
"Search job","Search job with my job","SUCCESS","2022-10-20T11:42:27.8266948+07:00[Asia/Bangkok]","0.0","0.03"
"Search job","Search job with interview prep","SUCCESS","2022-10-20T11:42:27.8752831+07:00[Asia/Bangkok]","0.0","0.03"
"Search job","Search job with alerts","SUCCESS","2022-10-20T11:42:27.9046285+07:00[Asia/Bangkok]","0.0","0.02"
"Search job","Search job with resume builder","SUCCESS","2022-10-20T11:42:27.9232116+07:00[Asia/Bangkok]","0.0","0.04"
"Search job","Search job with job seeker guidance","SUCCESS","2022-10-20T11:42:27.9732509+07:00[Asia/Bangkok]","0.0","0.01"
