"Story","Title","Result","Date","Stability","Duration (s)"
"Sign in","Sign in with number phone and password valid","SUCCESS","2022-10-20T11:42:28.0537206+07:00[Asia/Bangkok]","0.0","0.01"
"Sign in","Sign in with one character email and password","SUCCESS","2022-10-20T11:42:28.070345+07:00[Asia/Bangkok]","0.0","0.02"
"Sign in","Sign in with symbol in email and password","SUCCESS","2022-10-20T11:42:28.0983112+07:00[Asia/Bangkok]","0.0","0.02"
"Sign in","Sign in with null email and null password","SUCCESS","2022-10-20T11:42:28.1249529+07:00[Asia/Bangkok]","0.0","0.01"
"Sign in","Sign in with email valid and password valid","SUCCESS","2022-10-20T11:42:28.1423611+07:00[Asia/Bangkok]","0.0","0.02"
"Sign in","Sign in with email valid and password invalid","SUCCESS","2022-10-20T11:42:28.1634233+07:00[Asia/Bangkok]","0.0","0.01"
"Sign in","Sign in with email invalid and password valid","SUCCESS","2022-10-20T11:42:28.1798375+07:00[Asia/Bangkok]","0.0","0.02"
"Sign in","Sign in with google account","SUCCESS","2022-10-20T11:42:28.2000212+07:00[Asia/Bangkok]","0.0","0.01"
"Sign in","Sign in with Looking to create a page for a business?","SUCCESS","2022-10-20T11:42:28.2166103+07:00[Asia/Bangkok]","0.0","0.04"
"Sign in","Sign in with email valid and password valid, show password","SUCCESS","2022-10-20T11:42:28.2604995+07:00[Asia/Bangkok]","0.0","0.02"
"Sign in","Sign in with email valid and password valid, not show password","SUCCESS","2022-10-20T11:42:28.2808302+07:00[Asia/Bangkok]","0.0","0.02"
