"Story","Title","Result","Date","Stability","Duration (s)"
"Invitation People","Search people name with null character","SUCCESS","2022-10-20T11:42:27.0587629+07:00[Asia/Bangkok]","0.0","0.17"
"Invitation People","Search people name with one character","SUCCESS","2022-10-20T11:42:27.2389217+07:00[Asia/Bangkok]","0.0","0.04"
"Invitation People","Search people name with a name","SUCCESS","2022-10-20T11:42:27.2940586+07:00[Asia/Bangkok]","0.0","0.03"
"Invitation People","Search people name with symbol","SUCCESS","2022-10-20T11:42:27.3326365+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with a full name","SUCCESS","2022-10-20T11:42:27.3566662+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with my contact","SUCCESS","2022-10-20T11:42:27.380907+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with event","SUCCESS","2022-10-20T11:42:27.4103026+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with conections","SUCCESS","2022-10-20T11:42:27.4379464+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with people i follow","SUCCESS","2022-10-20T11:42:27.4608031+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with pages","SUCCESS","2022-10-20T11:42:27.4807134+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with hastag","SUCCESS","2022-10-20T11:42:27.5067106+07:00[Asia/Bangkok]","0.0","0.02"
